"Beta-Plus Decay Q Values"
 60, 42,0
 59, 43,0
 58, 44,0
 57, 45,4
 56, 46,0
 55, 47,5
 54, 48,4
 53, 49,5
 52, 50,5
 66, 37,0
 65, 38,0
 64, 39,0
 63, 40,0
 62, 41,0
 61, 42,0
 60, 43,0
 59, 44,0
 58, 45,0
 57, 46,0
 56, 47,4
 55, 48,5
 54, 49,5
 53, 50,5
 52, 51,5
 66, 38,0
 65, 39,0
 64, 40,0
 63, 41,0
 62, 42,0
 61, 43,0
 60, 44,0
 59, 45,2
 58, 46,0
 57, 47,5
 56, 48,2
 55, 49,5
 54, 50,5
 53, 51,5
 67, 38,0
 66, 39,0
 65, 40,0
 64, 41,0
 63, 42,0
 62, 43,0
 61, 44,0
 60, 45,0
 59, 46,0
 58, 47,2
 57, 48,4
 56, 49,5
 55, 50,5
 54, 51,5
 53, 52,5
 68, 38,0
 67, 39,0
 66, 40,0
 65, 41,0
 64, 42,0
 63, 43,0
 62, 44,0
 61, 45,0
 60, 46,0
 59, 47,4
 58, 48,0
 57, 49,5
 56, 50,4
 55, 51,5
 54, 52,5
 69, 38,0
 68, 39,0
 67, 40,0
 66, 41,0
 65, 42,0
 64, 43,0
 63, 44,0
 62, 45,0
 61, 46,0
 60, 47,0
 59, 48,2
 58, 49,4
 57, 50,5
 56, 51,5
 55, 52,5
 54, 53,5
 69, 39,0
 68, 40,0
 67, 41,0
 66, 42,0
 65, 43,0
 64, 44,0
 63, 45,0
 62, 46,0
 61, 47,3
 60, 48,0
 59, 49,5
 58, 50,4
 57, 51,5
 56, 52,5
 55, 53,5
 70, 39,0
 69, 40,0
 68, 41,0
 67, 42,0
 66, 43,0
 65, 44,0
 64, 45,0
 63, 46,0
 62, 47,0
 61, 48,0
 60, 49,3
 59, 50,4
 58, 51,5
 57, 52,5
 56, 53,5
 55, 54,5
 70, 40,0
 69, 41,0
 68, 42,0
 67, 43,0
 66, 44,0
 65, 45,0
 64, 46,0
 63, 47,0
 62, 48,0
 61, 49,4
 60, 50,0
 59, 51,5
 58, 52,5
 57, 53,5
 56, 54,5
 71, 40,0
 70, 41,0
 69, 42,0
 68, 43,0
 67, 44,0
 66, 45,0
 65, 46,0
 64, 47,0
 63, 48,0
 62, 49,0
 61, 50,4
 60, 51,5
 59, 52,5
 58, 53,5
 57, 54,5
 56, 55,5
 72, 40,0
 71, 41,0
 70, 42,0
 69, 43,0
 68, 44,0
 67, 45,0
 66, 46,0
 65, 47,0
 64, 48,0
 63, 49,4
 62, 50,0
 61, 51,5
 60, 52,5
 59, 53,5
 58, 54,5
 57, 55,5
 72, 41,0
 71, 42,0
 70, 43,0
 69, 44,0
 68, 45,0
 67, 46,0
 66, 47,0
 65, 48,0
 64, 49,0
 63, 50,1
 62, 51,4
 61, 52,5
 60, 53,5
 59, 54,5
 58, 55,5
 57, 56,5
 73, 41,0
 72, 42,0
 71, 43,0
 70, 44,0
 69, 45,0
 68, 46,0
 67, 47,0
 66, 48,0
 65, 49,2
 64, 50,0
 63, 51,5
 62, 52,4
 61, 53,5
 60, 54,5
 59, 55,5
 58, 56,5
 74, 41,0
 73, 42,0
 72, 43,0
 71, 44,0
 70, 45,0
 69, 46,0
 68, 47,0
