At. num | Sp. Name      | Ion Charge | El. Name     | Isoel. Seq. | Ground Shells (a)    | Ground Level       | Ionized Level                      |      Ionization Energy (b) (eV)       | References
     63 | Eu XXXVI      |        +35 | Europium     | Ni          | [Ar].3d10            | 1S0                | 3d9 2D<5/2>                        |         (2495(5))                     |           L8672c99
     63 | Eu XXXVII     |        +36 | Europium     | Co          | [Ar].3d9             | 2D<5/2>            | 3d8 3F<4>                          |         (2591(5))                     |           L8672c99
     63 | Eu XXXVIII    |        +37 | Europium     | Fe          | [Ar].3d8             | 3F<4>              | 3d7 4F<9/2>                        |         (2697(4))                     |           L8672c99
     63 | Eu XXXIX      |        +38 | Europium     | Mn          | [Ar].3d7             | 4F<9/2>            | 3d6 <4>                            |         (2807(4))                     |           L8672c99
     63 | Eu XL         |        +39 | Europium     | Cr          | [Ar].3d6             | <4>                | 3d5 <5/2>                          |         (2914(4))                     |           L8672c99
     63 | Eu XLI        |        +40 | Europium     | V           | [Ar].3d5             | <5/2>              | 3d4 5D<0>                          |         (3022(4))                     |           L8672c99
     63 | Eu XLII       |        +41 | Europium     | Ti          | [Ar].3d4             | 5D0                | 3d3 4F<3/2>                        |         (3168(4))                     |           L8672c99
     63 | Eu XLIII      |        +42 | Europium     | Sc          | [Ar].3d3             | 4F<3/2>            | 3d2 3F<2>                          |         (3279(4))                     |           L8672c99
     63 | Eu XLIV       |        +43 | Europium     | Ca          | [Ar].3d2             | 3F<2>              | 3d 2D<3/2>                         |         (3398(4))                     |           L8672c99
     63 | Eu XLV        |        +44 | Europium     | K           | [Ar].3d              | 2D<3/2>            | 3p6 1S<0>                          |         (3510(4))                     |           L8672c99
     63 | Eu XLVI       |        +45 | Europium     | Ar          | [Ne].3s2.3p6         | 1S0                | 3p5 2P*<3/2>                       |         (3823(4))                     |           L8672c99
     63 | Eu XLVII      |        +46 | Europium     | Cl          | [Ne].3s2.3p5         | 2P*<3/2>           | 3p4 3P<2>                          |         (3921(4))                     |           L8672c99
     63 | Eu XLVIII     |        +47 | Europium     | S           | [Ne].3s2.3p4         | 3P<2>              | 3p3 2P*<3/2>                       |         (4031(4))                     |           L8672c99
     63 | Eu XLIX       |        +48 | Europium     | P           | [Ne].3s2.3p3         | 2P*<3/2>           | 3p2 3P<0>                          |         (4131(4))                     |           L8672c99
     63 | Eu L          |        +49 | Europium     | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |         (4400(4))                     |           L8672c99
     63 | Eu LI         |        +50 | Europium     | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |         (4510(4))                     |           L8672c99
     63 | Eu LII        |        +51 | Europium     | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |         (4729(4))                     |           L8672c99
     63 | Eu LIII       |        +52 | Europium     | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |         (4838(4))                     |           L8672c99
     63 | Eu LIV        |        +53 | Europium     | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |        (10880(5))                     |           L8672c99
     63 | Eu LV         |        +54 | Europium     | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |        (11153(5))                     |           L8672c99
     63 | Eu LVI        |        +55 | Europium     | O           | 1s2.2s2.2p4          | 3P<2>              | 2p2<1/2>.2p<3/2> (0,3/2)*<3/2>     |        (11457(5))                     |           L8672c99
     63 | Eu LVII       |        +56 | Europium     | N           | 1s2.2s2.2p3          | (0,3/2)*<3/2>      | 2p2 3P<0>                          |        (11739(5))                     |           L8672c99
     63 | Eu LVIII      |        +57 | Europium     | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |        (12718(6))                     |           L8672c99
     63 | Eu LIX        |        +58 | Europium     | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |        (13050(6))                     |           L8672c99
     63 | Eu LX         |        +59 | Europium     | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |        (13462(7))                     |           L8672c99
     63 | Eu LXI        |        +60 | Europium     | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |        (13738.580(90))                |          L16264c99
     63 | Eu LXII       |        +61 | Europium     | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |        (55865.900(40))                |             L12128
     63 | Eu LXIII      |        +62 | Europium     | H           | 1s                   | 2S<1/2>            |                                    |        (57120.60(19))                 |              L7188
     64 | Gd I          |          0 | Gadolinium   | Gd          | [Xe].4f7.5d.6s2      | 9D*<2>             | 4f7.5d.6s 10D*<5/2>                |             6.149796(40)              |             L11798
     64 | Gd II         |         +1 | Gadolinium   | Eu          | [Xe].4f7.5d.6s       | 10D*<5/2>          | 4f7.5p6.5d 9D*<2>                  |           [12.090(70)]                |        L3974,L3420
     64 | Gd III        |         +2 | Gadolinium   | Sm          | [Xe].4f7.5d          | 9D*<2>             | 4f7.5s2.5p6 8S*<7/2>               |           [20.63(10)]                 |        L3974,L3420
     64 | Gd IV         |         +3 | Gadolinium   | Pm          | [Xe].4f7             | 8S*<7/2>           | 4f6.5s2.5p6 7F<0>                  |           [44.00(70)]                 |              L3974
     64 | Gd V          |         +4 | Gadolinium   | Nd          | [Xe].4f6             | 7F0                | 4f6.5s2.5p5*                       |           [64.76(40)]                 |              L4095
     64 | Gd VI         |         +5 | Gadolinium   | Pr          | [Cd].4f6.5p5         | *                  | 4f6.5s2.5p4                        |           (89(4))                     |               L582
     64 | Gd VII        |         +6 | Gadolinium   | Ce          | [Cd].4f6.5p4         |                    | 4f6.5s2.5p3*                       |          (106(5))                     |               L582
     64 | Gd VIII       |         +7 | Gadolinium   | La          | [Cd].4f6.5p3         | *                  | 4f6.5s2.5p2                        |          (123(6))                     |               L582
     64 | Gd IX         |         +8 | Gadolinium   | Ba          | [Cd].4f6.5p2         |                    | 4f5.5s2.5p2*                       |          (144(7))                     |               L582
     64 | Gd X          |         +9 | Gadolinium   | Cs          | [Cd].4f5.5p2         | *                  | 4f5.5s2.5p                         |          (165(8))                     |               L582
     64 | Gd XI         |        +10 | Gadolinium   | Xe          | [Cd].4f5.5p          |                    | 4f5.5s2*                           |          (183(9))                     |               L582
     64 | Gd XII        |        +11 | Gadolinium   | I           | [Cd].4f5             | *                  | 4f4.5s2                            |          (213(10))                    |               L582
     64 | Gd XIII       |        +12 | Gadolinium   | Te          | [Cd].4f4             |                    | 4f5 6H*<5/2>                       |          (246(10))                    |               L582
     64 | Gd XIV        |        +13 | Gadolinium   | Sb          | [Kr].4d10.4f5        | 6H*<5/2>           | 5s2.4f2                            |          (268(10))                    |               L582
     64 | Gd XV         |        +14 | Gadolinium   | Sn          | [Cd].4f2             |                    | 4f3 4I*<9/2>                       |          (288(10))                    |               L582
     64 | Gd XVI        |        +15 | Gadolinium   | In          | [Kr].4d10.4f3        | 4I*<9/2>           | 4f2 3H<4>                          |          (319(20))                    |               L582
     64 | Gd XVII       |        +16 | Gadolinium   | Cd          | [Kr].4d10.4f2        | 3H<4>              | 4f 2F*<5/2>                        |          (352(20))                    |               L582
     64 | Gd XVIII      |        +17 | Gadolinium   | Ag          | [Kr].4d10.4f         | 2F*<5/2>           | 4d10 1S<0>                         |          (380.0(25))                  |            L582c99
     64 | Gd XIX        |        +18 | Gadolinium   | Pd          | [Kr].4d10            | 1S0                | 4d9 2D<5/2>                        |          (565(3))                     |           L8672c99
     64 | Gd XX         |        +19 | Gadolinium   | Rh          | [Kr].4d9             | 2D<5/2>            | 4d8 3F<4>                          |          (601(4))                     |           L8672c99
     64 | Gd XXI        |        +20 | Gadolinium   | Ru          | [Kr].4d8             | 3F<4>              | 4d7 4F<9/2>                        |          (639(4))                     |           L8672c99
     64 | Gd XXII       |        +21 | Gadolinium   | Tc          | [Kr].4d7             | 4F<9/2>            | 4d6 5D<4>                          |          (680(4))                     |           L8672c99
     64 | Gd XXIII      |        +22 | Gadolinium   | Mo          | [Kr].4d6             | 5D<4>              | 4d5 6S<5/2>                        |          (719(4))                     |           L8672c99
     64 | Gd XXIV       |        +23 | Gadolinium   | Nb          | [Kr].4d5             | 6S<5/2>            | 4d4 5D<0>                          |          (761(4))                     |           L8672c99
     64 | Gd XXV        |        +24 | Gadolinium   | Zr          | [Kr].4d4             | 5D0                | 4d3 4F<3/2>                        |          (810(4))                     |           L8672c99
     64 | Gd XXVI       |        +25 | Gadolinium   | Y           | [Kr].4d3             | 4F<3/2>            | 4d2 3F<2>                          |          (851(4))                     |           L8672c99
     64 | Gd XXVII      |        +26 | Gadolinium   | Sr          | [Kr].4d2             | 3F<2>              | 4d 2D<3/2>                         |          (895(4))                     |           L8672c99
     64 | Gd XXVIII     |        +27 | Gadolinium   | Rb          | [Kr].4d              | 2D<3/2>            | 4p6 1S<0>                          |          (937(4))                     |           L8672c99
     64 | Gd XXIX       |        +28 | Gadolinium   | Kr          | [Ar].3d10.4s2.4p6    | 1S0                | 4p5 2P*<3/2>                       |         (1100(4))                     |           L8672c99
     64 | Gd XXX        |        +29 | Gadolinium   | Br          | [Ar].3d10.4s2.4p5    | 2P*<3/2>           | 4p4 3P<2>                          |         (1142(4))                     |           L8672c99
     64 | Gd XXXI       |        +30 | Gadolinium   | Se          | [Ar].3d10.4s2.4p4    | 3P<2>              | 4p3 4S*<3/2>                       |         (1189(4))                     |           L8672c99
     64 | Gd XXXII      |        +31 | Gadolinium   | As          | [Ar].3d10.4s2.4p3    | 4S*<3/2>           | 4p2 3P<0>                          |         (1233(4))                     |           L8672c99
     64 | Gd XXXIII     |        +32 | Gadolinium   | Ge          | [Ar].3d10.4s2.4p2    | 3P0                | 4p 2P*<1/2>                        |         (1321(4))                     |           L8672c99
     64 | Gd XXXIV      |        +33 | Gadolinium   | Ga          | [Ar].3d10.4s2.4p     | 2P*<1/2>           | 4s2 1S<0>                          |         (1368(5))                     |           L8672c99
     64 | Gd XXXV       |        +34 | Gadolinium   | Zn          | [Ar].3d10.4s2        | 1S0                | 4s 2S<1/2>                         |         (1481(5))                     |           L8672c99
     64 | Gd XXXVI      |        +35 | Gadolinium   | Cu          | [Ar].3d10.4s         | 2S<1/2>            | 3d10 1S<0>                         |         [1532.35(30)]                 |             L10191
     64 | Gd XXXVII     |        +36 | Gadolinium   | Ni          | [Ar].3d10            | 1S0                | 3d9 2D<5/2>                        |         (2621(5))                     |           L8672c99
     64 | Gd XXXVIII    |        +37 | Gadolinium   | Co          | [Ar].3d9             | 2D<5/2>            | 3d8 3F<4>                          |         (2720(4))                     |           L8672c99
     64 | Gd XXXIX      |        +38 | Gadolinium   | Fe          | [Ar].3d8             | 3F<4>              | 3d7 4F<9/2>                        |         (2827(4))                     |           L8672c99
     64 | Gd XL         |        +39 | Gadolinium   | Mn          | [Ar].3d7             | 4F<9/2>            | 3d6 <4>                            |         (2941(4))                     |           L8672c99
     64 | Gd XLI        |        +40 | Gadolinium   | Cr          | [Ar].3d6             | <4>                | 3d5 <5/2>                          |         (3050(4))                     |           L8672c99
     64 | Gd XLII       |        +41 | Gadolinium   | V           | [Ar].3d5             | <5/2>              | 3d4 5D<0>                          |         (3160(4))                     |           L8672c99
     64 | Gd XLIII      |        +42 | Gadolinium   | Ti          | [Ar].3d4             | 5D0                | 3d3 4F<3/2>                        |         (3312(4))                     |           L8672c99
     64 | Gd XLIV       |        +43 | Gadolinium   | Sc          | [Ar].3d3             | 4F<3/2>            | 3d2 3F<2>                          |         (3424(4))                     |           L8672c99
     64 | Gd XLV        |        +44 | Gadolinium   | Ca          | [Ar].3d2             | 3F<2>              | 3d 2D<3/2>                         |         (3550(4))                     |           L8672c99
     64 | Gd XLVI       |        +45 | Gadolinium   | K           | [Ar].3d              | 2D<3/2>            | 3p6 1S<0>                          |         (3660(4))                     |           L8672c99
     64 | Gd XLVII      |        +46 | Gadolinium   | Ar          | [Ne].3s2.3p6         | 1S0                | 3p5 2P*<3/2>                       |         (3980(4))                     |           L8672c99
     64 | Gd XLVIII     |        +47 | Gadolinium   | Cl          | [Ne].3s2.3p5         | 2P*<3/2>           | 3p4 3P<2>                          |         (4080(4))                     |           L8672c99
     64 | Gd XLIX       |        +48 | Gadolinium   | S           | [Ne].3s2.3p4         | 3P<2>              | 3p3 2P*<3/2>                       |         (4191(4))                     |           L8672c99
     64 | Gd L          |        +49 | Gadolinium   | P           | [Ne].3s2.3p3         | 2P*<3/2>           | 3p2 3P<0>                          |         (4294(4))                     |           L8672c99
     64 | Gd LI         |        +50 | Gadolinium   | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |         (4578(4))                     |           L8672c99
     64 | Gd LII        |        +51 | Gadolinium   | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |         (4693(4))                     |           L8672c99
     64 | Gd LIII       |        +52 | Gadolinium   | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |         (4914(4))                     |           L8672c99
     64 | Gd LIV        |        +53 | Gadolinium   | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |         (5025(5))                     |           L8672c99
     64 | Gd LV         |        +54 | Gadolinium   | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |        (11273(5))                     |           L8672c99
     64 | Gd LVI        |        +55 | Gadolinium   | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |        (11552(5))                     |           L8672c99
     64 | Gd LVII       |        +56 | Gadolinium   | O           | 1s2.2s2.2p4          | 3P<2>              | 2p2<1/2>.2p<3/2> (0,3/2)*<3/2>     |        (11861(5))                     |           L8672c99
     64 | Gd LVIII      |        +57 | Gadolinium   | N           | 1s2.2s2.2p3          | (0,3/2)*<3/2>      | 2p2 3P<0>                          |        (12147(6))                     |           L8672c99
     64 | Gd LIX        |        +58 | Gadolinium   | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |        (13183(6))                     |           L8672c99
     64 | Gd LX         |        +59 | Gadolinium   | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |        (13521(7))                     |           L8672c99
     64 | Gd LXI        |        +60 | Gadolinium   | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |        (13943(10))                    |           L8672c99
     64 | Gd LXII       |        +61 | Gadolinium   | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |        (14224.57(10))                 |          L16264c99
     64 | Gd LXIII      |        +62 | Gadolinium   | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |        (57783.900(40))                |             L12128
     64 | Gd LXIV       |        +63 | Gadolinium   | H           | 1s                   | 2S<1/2>            |                                    |        (59065.52(20))                 |              L7188
     65 | Tb I          |          0 | Terbium      | Tb          | [Xe].4f9.6s2         | 6H*<15/2>          | 4f9.(6H*).5p6.6s (15/2,1/2)*<8>    |             5.86380(60)               |              L4277
     65 | Tb II         |         +1 | Terbium      | Gd          | [Xe].4f9.6s          | (15/2,1/2)*<8>     | 4f9.5p6 6H*<15/2>                  |           [11.520(70)]                |        L3974,L3519
     65 | Tb III        |         +2 | Terbium      | Eu          | [Xe].4f9             | 6H*<15/2>          | 4f8.5p6 7F<6>                      |           [21.91(10)]                 |        L3974,L3420
     65 | Tb IV         |         +3 | Terbium      | Sm          | [Xe].4f8             | 7F<6>              | 4f7.5s2.5p6 8S*<7/2>               |           [39.36(10)]                 |        L3974,L3689
     65 | Tb V          |         +4 | Terbium      | Pm          | [Xe].4f7             | 8S*<7/2>           | 4f7.5s2.5p5                        |           [66.50(30)]                 |              L4095
     65 | Tb VI         |         +5 | Terbium      | Nd          | [Cd].4f7.5p5         |                    | 4f8.5s2.5p3*                       |           (90(4))                     |               L582
     65 | Tb VII        |         +6 | Terbium      | Pr          | [Cd].4f8.5p3         | *                  | 4f7.5s2.5p3                        |          (108(5))                     |               L582
     65 | Tb VIII       |         +7 | Terbium      | Ce          | [Cd].4f7.5p3         |                    | 4f7.5s2.5p2*                       |          (125(6))                     |               L582
     65 | Tb IX         |         +8 | Terbium      | La          | [Cd].4f7.5p2         | *                  | 4f6.5s2.5p2                        |          (143(7))                     |               L582
     65 | Tb X          |         +9 | Terbium      | Ba          | [Cd].4f6.5p2         |                    | 4f6.5s2.5p*                        |          (168(8))                     |               L582
     65 | Tb XI         |        +10 | Terbium      | Cs          | [Cd].4f6.5p          | *                  | 4f6.5s2                            |          (186(9))                     |               L582
     65 | Tb XII        |        +11 | Terbium      | Xe          | [Cd].4f6             |                    | 4f5.5s2*                           |          (216(10))                    |               L582
     65 | Tb XIII       |        +12 | Terbium      | I           | [Cd].4f5             | *                  | 4f4.5s2                            |          (250(10))                    |               L582
     65 | Tb XIV        |        +13 | Terbium      | Te          | [Cd].4f4             |                    | 4f5 6H*<5/2>                       |          (270(10))                    |               L582
     65 | Tb XV         |        +14 | Terbium      | Sb          | [Kr].4d10.4f5        | 6H*<5/2>           | 4f4 5I<4>                          |          (294(10))                    |               L582
     65 | Tb XVI        |        +15 | Terbium      | Sn          | [Kr].4d10.4f4        | 5I<4>              | 4f3 4I*<9/2>                       |          (325(20))                    |               L582
     65 | Tb XVII       |        +16 | Terbium      | In          | [Kr].4d10.4f3        | 4I*<9/2>           | 4f2 3H<4>                          |          (358(20))                    |               L582
     65 | Tb XVIII      |        +17 | Terbium      | Cd          | [Kr].4d10.4f2        | 3H<4>              | 4f 2F*<5/2>                        |          (393(20))                    |               L582
     65 | Tb XIX        |        +18 | Terbium      | Ag          | [Kr].4d10.4f         | 2F*<5/2>           | 4d10 1S<0>                         |          (426.6(25))                  |            L582c99
     65 | Tb XX         |        +19 | Terbium      | Pd          | [Kr].4d10            | 1S0                | 4d9 2D<5/2>                        |          (613(4))                     |           L8672c99
     65 | Tb XXI        |        +20 | Terbium      | Rh          | [Kr].4d9             | 2D<5/2>            | 4d8 3F<4>                          |          (651(4))                     |           L8672c99
     65 | Tb XXII       |        +21 | Terbium      | Ru          | [Kr].4d8             | 3F<4>              | 4d7 4F<9/2>                        |          (690(4))                     |           L8672c99
     65 | Tb XXIII      |        +22 | Terbium      | Tc          | [Kr].4d7             | 4F<9/2>            | 4d6 5D<4>                          |          (732(4))                     |           L8672c99
     65 | Tb XXIV       |        +23 | Terbium      | Mo          | [Kr].4d6             | 5D<4>              | 4d5 6S<5/2>                        |          (772(4))                     |           L8672c99
     65 | Tb XXV        |        +24 | Terbium      | Nb          | [Kr].4d5             | 6S<5/2>            | 4d4 5D<0>                          |          (816(4))                     |           L8672c99
     65 | Tb XXVI       |        +25 | Terbium      | Zr          | [Kr].4d4             | 5D0                | 4d3 4F<3/2>                        |          (866(4))                     |           L8672c99
     65 | Tb XXVII      |        +26 | Terbium      | Y           | [Kr].4d3             | 4F<3/2>            | 4d2 3F<2>                          |          (909(4))                     |           L8672c99
     65 | Tb XXVIII     |        +27 | Terbium      | Sr          | [Kr].4d2             | 3F<2>              | 4d 2D<3/2>                         |          (954(4))                     |           L8672c99
     65 | Tb XXIX       |        +28 | Terbium      | Rb          | [Kr].4d              | 2D<3/2>            | 4p6 1S<0>                          |          (997(4))                     |           L8672c99
     65 | Tb XXX        |        +29 | Terbium      | Kr          | [Ar].3d10.4s2.4p6    | 1S0                | 4p5 2P*<3/2>                       |         (1165(4))                     |           L8672c99
     65 | Tb XXXI       |        +30 | Terbium      | Br          | [Ar].3d10.4s2.4p5    | 2P*<3/2>           | 4p4 3P<2>                          |         (1208(4))                     |           L8672c99
     65 | Tb XXXII      |        +31 | Terbium      | Se          | [Ar].3d10.4s2.4p4    | 3P<2>              | 4p3 4S*<3/2>                       |         (1256(4))                     |           L8672c99
     65 | Tb XXXIII     |        +32 | Terbium      | As          | [Ar].3d10.4s2.4p3    | 4S*<3/2>           | 4p2 3P<0>                          |         (1301(4))                     |           L8672c99
     65 | Tb XXXIV      |        +33 | Terbium      | Ge          | [Ar].3d10.4s2.4p2    | 3P0                | 4p 2P*<1/2>                        |         (1393(5))                     |           L8672c99
     65 | Tb XXXV       |        +34 | Terbium      | Ga          | [Ar].3d10.4s2.4p     | 2P*<1/2>           | 4s2 1S<0>                          |         (1443(5))                     |           L8672c99
     65 | Tb XXXVI      |        +35 | Terbium      | Zn          | [Ar].3d10.4s2        | 1S0                | 4s 2S<1/2>                         |         (1559(5))                     |           L8672c99
     65 | Tb XXXVII     |        +36 | Terbium      | Cu          | [Ar].3d10.4s         | 2S<1/2>            | 3d10 1S<0>                         |         [1610.38(70)]                 |             L10278
     65 | Tb XXXVIII    |        +37 | Terbium      | Ni          | [Ar].3d10            | 1S0                | 3d9 2D<5/2>                        |         (2750(4))                     |           L8672c99
     65 | Tb XXXIX      |        +38 | Terbium      | Co          | [Ar].3d9             | 2D<5/2>            | 3d8 3F<4>                          |         (2852(4))                     |           L8672c99
     65 | Tb XL         |        +39 | Terbium      | Fe          | [Ar].3d8             | 3F<4>              | 3d7 4F<9/2>                        |         (2961(4))                     |           L8672c99
     65 | Tb XLI        |        +40 | Terbium      | Mn          | [Ar].3d7             | 4F<9/2>            | 3d6 <4>                            |         (3078(4))                     |           L8672c99
     65 | Tb XLII       |        +41 | Terbium      | Cr          | [Ar].3d6             | <4>                | 3d5 <5/2>                          |         (3189(4))                     |           L8672c99
     65 | Tb XLIII      |        +42 | Terbium      | V           | [Ar].3d5             | <5/2>              | 3d4 5D<0>                          |         (3300(4))                     |           L8672c99
     65 | Tb XLIV       |        +43 | Terbium      | Ti          | [Ar].3d4             | 5D0                | 3d3 4F<3/2>                        |         (3458(4))                     |           L8672c99
     65 | Tb XLV        |        +44 | Terbium      | Sc          | [Ar].3d3             | 4F<3/2>            | 3d2 3F<2>                          |         (3573(4))                     |           L8672c99
     65 | Tb XLVI       |        +45 | Terbium      | Ca          | [Ar].3d2             | 3F<2>              | 3d 2D<3/2>                         |         (3698(4))                     |           L8672c99
     65 | Tb XLVII      |        +46 | Terbium      | K           | [Ar].3d              | 2D<3/2>            | 3p6 1S<0>                          |         (3814(4))                     |           L8672c99
     65 | Tb XLVIII     |        +47 | Terbium      | Ar          | [Ne].3s2.3p6         | 1S0                | 3p5 2P*<3/2>                       |         (4139(4))                     |           L8672c99
     65 | Tb XLIX       |        +48 | Terbium      | Cl          | [Ne].3s2.3p5         | 2P*<3/2>           | 3p4 3P<2>                          |         (4242(4))                     |           L8672c99
     65 | Tb L          |        +49 | Terbium      | S           | [Ne].3s2.3p4         | 3P<2>              | 3p3 2P*<3/2>                       |         (4355(4))                     |           L8672c99
     65 | Tb LI         |        +50 | Terbium      | P           | [Ne].3s2.3p3         | 2P*<3/2>           | 3p2 3P<0>                          |         (4460(4))                     |           L8672c99
     65 | Tb LII        |        +51 | Terbium      | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |         (4760(4))                     |           L8672c99
     65 | Tb LIII       |        +52 | Terbium      | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |         (4877(4))                     |           L8672c99
     65 | Tb LIV        |        +53 | Terbium      | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |         (5103(5))                     |           L8672c99
     65 | Tb LV         |        +54 | Terbium      | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |         (5217(5))                     |           L8672c99
     65 | Tb LVI        |        +55 | Terbium      | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |        (11673(5))                     |           L8672c99
     65 | Tb LVII       |        +56 | Terbium      | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |        (11957(5))                     |           L8672c99
     65 | Tb LVIII      |        +57 | Terbium      | O           | 1s2.2s2.2p4          | 3P<2>              | 2p2<1/2>.2p<3/2> (0,3/2)*<3/2>     |        (12272(6))                     |           L8672c99
     65 | Tb LIX        |        +58 | Terbium      | N           | 1s2.2s2.2p3          | (0,3/2)*<3/2>      | 2p2 3P<0>                          |        (12563(6))                     |           L8672c99
     65 | Tb LX         |        +59 | Terbium      | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |        (13658(7))                     |           L8672c99
     65 | Tb LXI        |        +60 | Terbium      | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |        (14003(10))                    |           L8672c99
     65 | Tb LXII       |        +61 | Terbium      | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |        (14434(10))                    |           L8672c99
     65 | Tb LXIII      |        +62 | Terbium      | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |        (14721.00(10))                 |          L16264c99
     65 | Tb LXIV       |        +63 | Terbium      | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |        (59739.25(30))                 |             L10054
     65 | Tb LXV        |        +64 | Terbium      | H           | 1s                   | 2S<1/2>            |                                    |        (61049.64(22))                 |              L7188
     66 | Dy I          |          0 | Dysprosium   | Dy          | [Xe].4f10.6s2        | 5I<8>              | 4f10.(5I<8>).6s<1/2> (8,1/2)<17/2> |             5.939050(70)              |             L14730
     66 | Dy II         |         +1 | Dysprosium   | Tb          | [Xe].4f10.6s         | (8,1/2)<17/2>      | 4f10.5p6 5I<8>                     |           [11.670(70)]                |        L3974,L3519
     66 | Dy III        |         +2 | Dysprosium   | Gd          | [Xe].4f10            | 5I<8>              | 4f9.5p6 6H*<15/2>                  |           [22.93(10)]                 |             L11605
     66 | Dy IV         |         +3 | Dysprosium   | Eu          | [Xe].4f9             | 6H*<15/2>          | 4f8.5p6 7F<6>                      |           [41.40(40)]                 |              L3974
     66 | Dy V          |         +4 | Dysprosium   | Sm          | [Xe].4f8             | 7F<6>              | 4f8.5s2.5p5*                       |           [62.08(30)]                 |              L4095
     66 | Dy VI         |         +5 | Dysprosium   | Pm          | [Cd].4f8.5p5         | *                  | 4f8.5s2.5p4                        |           (93(5))                     |               L582
     66 | Dy VII        |         +6 | Dysprosium   | Nd          | [Cd].4f8.5p4         |                    | 4f9.5s2.5p2*                       |          (110(5))                     |               L582
     66 | Dy VIII       |         +7 | Dysprosium   | Pr          | [Cd].4f9.5p2         | *                  | 4f8.5s2.5p2                        |          (127(6))                     |               L582
     66 | Dy IX         |         +8 | Dysprosium   | Ce          | [Cd].4f8.5p2         |                    | 4f8.5s2.5p*                        |          (152(8))                     |               L582
     66 | Dy X          |         +9 | Dysprosium   | La          | [Cd].4f8.5p          | *                  | 4f8.5s2                            |          (170(9))                     |               L582
     66 | Dy XI         |        +10 | Dysprosium   | Ba          | [Cd].4f8             |                    | 4f7.5s2*                           |          (192(10))                    |               L582
     66 | Dy XII        |        +11 | Dysprosium   | Cs          | [Cd].4f7             | *                  | 4f6.5s2                            |          (224(10))                    |               L582
     66 | Dy XIII       |        +12 | Dysprosium   | Xe          | [Cd].4f6             |                    | 4f6.5s*                            |          (259(10))                    |               L582
     66 | Dy XIV        |        +13 | Dysprosium   | I           | [Kr].4d10.4f6.5s     |                    | 4f4.5s2                            |          (279(10))                    |               L582
     66 | Dy XV         |        +14 | Dysprosium   | Te          | [Cd].4f4             |                    | 4f5 6H*<5/2>                       |          (300(10))                    |               L582
     66 | Dy XVI        |        +15 | Dysprosium   | Sb          | [Kr].4d10.4f5        | 6H*<5/2>           | 4f4 5I<4>                          |          (332(20))                    |               L582
     66 | Dy XVII       |        +16 | Dysprosium   | Sn          | [Kr].4d10.4f4        | 5I<4>              | 4f3 4I*<9/2>                       |          (366(20))                    |               L582
     66 | Dy XVIII      |        +17 | Dysprosium   | In          | [Kr].4d10.4f3        | 4I*<9/2>           | 4f2 3H<4>                          |          (399(20))                    |               L582
     66 | Dy XIX        |        +18 | Dysprosium   | Cd          | [Kr].4d10.4f2        | 3H<4>              | 4f 2F*<5/2>                        |          (431(20))                    |               L582
